t,t+1,delta,tokenized_data
104876474368,104870182912,-6291456,-6291456
104870182912,104872280064,2097152,2097152
104872280064,104865988608,-6291456,-6291456
104865988608,104868085760,2097152,2097152
104868085760,104861794304,-6291456,-6291456
104861794304,104863891456,2097152,2097152
104863891456,104857600000,-6291456,-6291456
104857600000,104859697152,2097152,2097152
104859697152,104853405696,-6291456,-6291456
104853405696,104855502848,2097152,2097152
104855502848,104849211392,-6291456,-6291456
104849211392,104851308544,2097152,2097152
104851308544,104845017088,-6291456,-6291456
104845017088,104847114240,2097152,2097152
104847114240,104840822784,-6291456,-6291456
104840822784,104842919936,2097152,2097152
104842919936,104836628480,-6291456,-6291456
104836628480,104838725632,2097152,2097152
104838725632,104832434176,-6291456,-6291456
104832434176,104834531328,2097152,2097152
104834531328,104828239872,-6291456,-6291456
104828239872,104830337024,2097152,2097152
104830337024,104824045568,-6291456,-6291456
104824045568,104826142720,2097152,2097152
104826142720,104819851264,-6291456,-6291456
104819851264,104821948416,2097152,2097152
104821948416,104815656960,-6291456,-6291456
104815656960,104817754112,2097152,2097152
104817754112,104811462656,-6291456,-6291456
104811462656,104813559808,2097152,2097152
104813559808,104807268352,-6291456,-6291456
104807268352,104809365504,2097152,2097152
104809365504,104803074048,-6291456,-6291456
104803074048,104805171200,2097152,2097152
104805171200,104798879744,-6291456,-6291456
104798879744,104800976896,2097152,2097152
104800976896,104794685440,-6291456,-6291456
104794685440,104796782592,2097152,2097152
104796782592,104790491136,-6291456,-6291456
104790491136,104792588288,2097152,2097152
104792588288,104786296832,-6291456,-6291456
104786296832,104788393984,2097152,2097152
104788393984,104782102528,-6291456,-6291456
104782102528,104784199680,2097152,2097152
104784199680,104777908224,-6291456,-6291456
104777908224,104780005376,2097152,2097152
104780005376,104773713920,-6291456,-6291456
104773713920,104775811072,2097152,2097152
104775811072,104769519616,-6291456,-6291456
104769519616,104771616768,2097152,2097152
104771616768,104765325312,-6291456,-6291456
104765325312,104767422464,2097152,2097152
104767422464,104761131008,-6291456,-6291456
104761131008,104763228160,2097152,2097152
104763228160,104756936704,-6291456,-6291456
104756936704,104759033856,2097152,2097152
104759033856,104752742400,-6291456,-6291456
104752742400,104754839552,2097152,2097152
104754839552,104748548096,-6291456,-6291456
104748548096,104750645248,2097152,2097152
104750645248,104744353792,-6291456,-6291456
104744353792,104746450944,2097152,2097152
104746450944,104740159488,-6291456,-6291456
104740159488,104742256640,2097152,2097152
104742256640,104735965184,-6291456,-6291456
104735965184,104738062336,2097152,2097152
104738062336,104731770880,-6291456,-6291456
104731770880,104733868032,2097152,2097152
104733868032,104727576576,-6291456,-6291456
104727576576,104729673728,2097152,2097152
104729673728,104723382272,-6291456,-6291456
104723382272,104725479424,2097152,2097152
104725479424,104719187968,-6291456,-6291456
104719187968,104721285120,2097152,2097152
104721285120,104714993664,-6291456,-6291456
104714993664,104717090816,2097152,2097152
104717090816,104710799360,-6291456,-6291456
104710799360,104712896512,2097152,2097152
104712896512,104706605056,-6291456,-6291456
104706605056,104708702208,2097152,2097152
104708702208,104702410752,-6291456,-6291456
104702410752,104704507904,2097152,2097152
104704507904,104698216448,-6291456,-6291456
104698216448,104700313600,2097152,2097152
104700313600,104694022144,-6291456,-6291456
104694022144,104696119296,2097152,2097152
104696119296,104689827840,-6291456,-6291456
104689827840,104691924992,2097152,2097152
104691924992,104685633536,-6291456,-6291456
104685633536,104687730688,2097152,2097152
104687730688,104681439232,-6291456,-6291456
104681439232,104683536384,2097152,2097152
104683536384,104677244928,-6291456,-6291456
104677244928,104679342080,2097152,2097152
104679342080,104673050624,-6291456,-6291456
