t,t+1,delta,tokenized_data
104294240256,104294244352,4096,4096
104294244352,104294248448,4096,4096
104294248448,104294252544,4096,4096
104294252544,104294256640,4096,4096
104294256640,104294260736,4096,4096
104294260736,104294264832,4096,4096
104294264832,104294268928,4096,4096
104294268928,104294273024,4096,4096
104294273024,104294277120,4096,4096
104294277120,104294281216,4096,4096
104294281216,104294285312,4096,4096
104294285312,104294289408,4096,4096
104294289408,104294293504,4096,4096
104294293504,104294297600,4096,4096
104294297600,104294301696,4096,4096
104294301696,104294305792,4096,4096
104294305792,104294309888,4096,4096
104294309888,104294313984,4096,4096
104294313984,104294318080,4096,4096
104294318080,104294322176,4096,4096
104294322176,104294326272,4096,4096
104294326272,104294330368,4096,4096
104294330368,104294334464,4096,4096
104294334464,104294338560,4096,4096
104294338560,104294342656,4096,4096
104294342656,104294346752,4096,4096
104294346752,104294350848,4096,4096
104294350848,104294354944,4096,4096
104294354944,104294359040,4096,4096
104294359040,104294363136,4096,4096
104294363136,104294367232,4096,4096
104294367232,104294371328,4096,4096
104294371328,104294375424,4096,4096
104294375424,104294379520,4096,4096
104294379520,104294383616,4096,4096
104294383616,104294387712,4096,4096
104294387712,104294391808,4096,4096
104294391808,104294395904,4096,4096
104294395904,104294400000,4096,4096
104294400000,104294404096,4096,4096
104294404096,104294408192,4096,4096
104294408192,104294412288,4096,4096
104294412288,104294416384,4096,4096
104294416384,104294420480,4096,4096
104294420480,104294424576,4096,4096
104294424576,104294428672,4096,4096
104294428672,104294432768,4096,4096
104294432768,104294436864,4096,4096
104294436864,104294440960,4096,4096
104294440960,104294445056,4096,4096
104294445056,104294449152,4096,4096
104294449152,104294453248,4096,4096
104294453248,104294457344,4096,4096
104294457344,104294461440,4096,4096
104294461440,104294465536,4096,4096
104294465536,104294469632,4096,4096
104294469632,104294473728,4096,4096
104294473728,104294477824,4096,4096
104294477824,104294481920,4096,4096
104294481920,104294486016,4096,4096
104294486016,104294490112,4096,4096
104294490112,104294494208,4096,4096
104294494208,104294498304,4096,4096
104294498304,104294502400,4096,4096
104294502400,104294506496,4096,4096
104294506496,104294510592,4096,4096
104294510592,104294514688,4096,4096
104294514688,104294518784,4096,4096
104294518784,104294522880,4096,4096
104294522880,104294526976,4096,4096
104294526976,104294531072,4096,4096
104294531072,104294535168,4096,4096
104294535168,104294539264,4096,4096
104294539264,104294543360,4096,4096
104294543360,104294547456,4096,4096
104294547456,104294551552,4096,4096
104294551552,104294555648,4096,4096
104294555648,104294559744,4096,4096
104294559744,104294563840,4096,4096
104294563840,104294567936,4096,4096
104294567936,104294572032,4096,4096
